Imbalanced Loss	Imbalanced Acc.	Imbalanced GM.	Reversed Loss	Reversed Acc.	Reversed GM.	Weak Loss	Weak Acc.	Weak GM.	Strong Loss	Strong Acc.	Strong GM.	
0.585744	85.189669	0.620748	2.173607	45.722357	0.611219	1.479342	62.830000	0.585887	2.147471	29.070000	0.203914	
0.587126	84.705408	0.611548	2.115140	47.659403	0.611201	1.444267	63.540000	0.595204	2.054089	29.380000	0.225731	
0.588257	85.189669	0.611142	2.204954	45.843422	0.606234	1.467656	63.030000	0.590148	2.203631	26.710000	0.177193	
0.562671	84.947538	0.619367	2.092423	47.215496	0.611540	1.426250	63.000000	0.589238	2.028776	30.740000	0.246319	
0.580617	85.149314	0.616365	2.201266	46.246973	0.610915	1.463584	63.130000	0.589907	2.238490	26.540000	0.168940	
0.592158	84.584342	0.592651	2.113056	47.336562	0.612389	1.437130	63.440000	0.589920	2.308391	23.970000	0.145902	
0.597300	84.543987	0.593735	2.190121	46.004843	0.605576	1.475945	62.810000	0.584787	2.112666	29.520000	0.226561	
0.577793	84.301856	0.582266	2.034843	48.264730	0.619795	1.435288	63.830000	0.599914	2.195326	25.980000	0.165277	
0.573202	84.745763	0.630121	2.119453	46.610169	0.616895	1.466759	63.390000	0.591782	2.082662	30.210000	0.229912	
0.576895	84.624697	0.604881	1.995821	48.103309	0.614006	1.397515	64.170000	0.604568	2.487464	21.740000	0.104957	
0.576700	85.310734	0.648745	2.153217	46.125908	0.615091	1.459635	63.930000	0.600390	2.270607	25.140000	0.154864	
0.576735	84.826473	0.631859	1.981854	48.103309	0.630373	1.384851	64.090000	0.604470	2.206442	25.960000	0.172264	
0.564359	85.068604	0.650933	2.150377	46.246973	0.620802	1.440431	64.340000	0.606606	2.243818	25.880000	0.156572	
0.562379	85.310734	0.627957	2.066436	47.296207	0.615059	1.414130	64.750000	0.613526	2.257182	26.840000	0.184863	
0.554812	85.714286	0.650320	2.209314	46.973366	0.622051	1.469797	64.720000	0.611443	2.135702	28.750000	0.191479	
0.593979	84.786118	0.666187	1.866753	51.049233	0.657550	1.373787	65.780000	0.630571	2.134115	28.470000	0.189590	
0.571333	85.593220	0.658837	2.103803	48.466505	0.642049	1.435375	65.480000	0.624543	2.007359	32.310000	0.220678	
0.536584	85.512510	0.633782	1.969529	46.690880	0.624539	1.336395	64.950000	0.613011	2.317058	23.790000	0.129471	
0.535449	85.754641	0.651138	2.142538	45.641646	0.628711	1.387335	64.740000	0.608458	2.081966	30.740000	0.215219	
0.551143	85.714286	0.646440	2.028171	47.659403	0.636232	1.376387	65.450000	0.620841	2.026885	30.880000	0.227099	
0.544096	86.077482	0.654407	2.205872	46.408394	0.633463	1.427399	65.520000	0.619756	1.983674	33.620000	0.242328	
0.549363	86.117837	0.662283	1.992673	48.991122	0.642590	1.352859	65.720000	0.626169	1.926776	33.660000	0.285561	
0.546862	85.472155	0.666101	2.081328	48.789346	0.640680	1.384036	65.780000	0.626460	2.166153	28.660000	0.189138	
0.542642	86.077482	0.670820	1.876101	52.259887	0.657241	1.326510	66.700000	0.641254	2.307925	26.080000	0.153539	
0.544854	86.319613	0.669504	1.979417	51.412429	0.655395	1.345372	66.750000	0.640720	1.937563	34.820000	0.281194	
0.565957	85.472155	0.673234	1.762157	53.672316	0.647927	1.312410	66.810000	0.644881	2.161891	28.170000	0.172662	
0.545520	85.875706	0.652430	1.969967	51.008878	0.643643	1.377800	66.050000	0.635886	1.923737	34.130000	0.282477	
0.552323	85.754641	0.667626	1.808823	52.744148	0.659768	1.311850	67.020000	0.644210	2.254736	26.590000	0.152846	
0.533085	86.198547	0.650401	1.977758	51.493140	0.650676	1.350663	67.020000	0.643294	1.848347	36.010000	0.309942	
0.534432	86.521388	0.630820	2.025426	50.403551	0.652695	1.363458	66.790000	0.639155	1.760399	37.770000	0.333973	
